"Code","Taxa","Description","CF_calc","CF_max","CF_min","CF_n","match_notes","calc_notes","mean_EUMOFA","max_EUMOFA","min_EUMOFA","n_EUMOFA","CF_live_to_commod"
30617,"metapenaeus endeavouri","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"metapenaeus ensis","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"metapenaeus joyneri","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"metapenaeus monoceros","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.59166666666667,2.56,1.67,3,"full_match","assign",1.34,1.66,1,6,0.445765230312036
30617,"nematopalaemon schmitti","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"palaemon adspersus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"palaemon longirostris","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"palaemon serratus","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.2475,1,1,2,"full_match","assign",1.34,1.66,1,6,1
30617,"palaemonetes varians","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
30617,"parapenaeopsis","crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",1.34,NA,NA,NA,"no_cf_match","assign",1.34,1.66,1,6,0.746268656716418
