"Code","SciName","Match_category","HS_version","Description","Modification","sciname_habitat","code_habitat"
30627,"acetes japonicus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"aristaeomorpha foliacea","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"aristaeopsis edwardsiana","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"aristeus antennatus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"aristeus varidens","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"artemesia longinaris","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"farfantepenaeus aztecus","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"farfantepenaeus brasiliensis","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"farfantepenaeus brevirostris","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
30627,"farfantepenaeus californiensis","explicit_taxa_match","HS12","crustaceans; not frozen, shrimps and prawns excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water; edible flour, meals, and pellets","","marine","marine.diadromous"
